Company ID,Company Name,Pipeline Step,URL,Extra Info
23,HYCO4 - JSC,Search (tier1_coarse),https://www.facebook.com/hyco4building/?locale=ro_RO,Hyco4 Building | Ho Chi Minh City - Facebook
23,HYCO4 - JSC,Search (tier1_coarse),https://fuelcellsworks.com/2025/11/14/green-technology/rotterdam-hyco4-co-capture-project-reaches-milestone-as-modules-arrive-on-site,Rotterdam HyCO4 CO₂ Capture Project Reaches Milestone
23,HYCO4 - JSC,Search (tier1_coarse),https://jobs.workinthehague.nl/companies/air-products-and-chemicals/jobs/45031387-operations-technician-hyco-4,Operations Technician HyCO-4 @ Air Products and Chemicals
23,HYCO4 - JSC,Search (tier1_coarse),https://www.dcmr.nl/voor-bedrijven/bedrijven/air-products-hyco4,Air Products Hyco4 - DCMR
23,HYCO4 - JSC,Search (tier1_coarse),https://www.heyiele.com/cooperation/,Cooperation - Heyi Electric
23,HYCO4 - JSC,Search (tier1_coarse),https://www.linkedin.com/posts/catalyze-group_innovation-fund-2025-activity-7392570440554278913-D0HR,Innovation Fund 2025 | Catalyze Group - LinkedIn
23,HYCO4 - JSC,Search (tier1_coarse),https://www.tceq.texas.gov/assets/public/permitting/air/reports/applications/37902-tc.pdf,"[PDF] # $ %&'() & *+ , ) - ./ <, &( ' *722 @) / $ %&'() & - Texas Commission ..."
23,HYCO4 - JSC,Search (tier1_coarse),https://vanphongsg.com/van-phong-cho-thue/the-hyco4-tower-944.html,THE HYCO4 TOWER - Your Office - Văn phòng cho thuê
23,HYCO4 - JSC,Search (tier1_coarse),https://finance.vietstock.vn/TL4-hydraulics-contruction-corporation-no-4-joint-stock-company.htm?tab=BCTN&languageid=2,TL4: Hydraulics Construction Corporation No.4 - HYCO4 – JSC
23,HYCO4 - JSC,Search (tier1_coarse),https://www.h2-view.com/story/air-products-adds-liquefaction-to-port-of-rotterdam-grey-hydrogen-plant/2138905.article/,Air Products adds liquefaction to Port of Rotterdam grey hydrogen ...
23,HYCO4 - JSC,Search (tier1_coarse),https://www.heyiele.com/cooperation/,Cooperation - Heyi Electric
23,HYCO4 - JSC,Search (tier1_coarse),https://h2eg.com/h2-view-news-air-products-adds-liquefaction-to-port-of-rotterdam-grey-hydrogen-plant/,H2-View News: Air Products adds liquefaction to Port of Rotterdam ...
23,HYCO4 - JSC,Search (tier1_coarse),https://seekingalpha.com/article/4849296-air-products-and-chemicals-inc-apd-presents-at-citigroup-2025-basic-materials-conference,"Air Products and Chemicals, Inc. (APD) Presents at Citigroup 2025 ..."
23,HYCO4 - JSC,Search (tier1_coarse),https://dutramex.nl/nl/referenties/hyco4/,HyCO4 - Dutramex
23,HYCO4 - JSC,Search (tier1_coarse),https://www.linkedin.com/in/elizar-soedarmo-547902b,Elizar Soedarmo - Sr Cost Estimating Engineer | LinkedIn
23,HYCO4 - JSC,Search (tier1_coarse),https://investvietnam.vn/fujinami-construction-consultant-co-ltd-pn642.html,"Fujinami Construction Consultant Co., Ltd - Invest Vietnam"
